gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,bundesland,daten_stand
1001,2,0,0,2,46.0,36.0,1,2020-04-28 09:15:00
1002,4,4,2,3,100.0,117.0,1,2020-04-28 09:15:00
1003,2,5,5,2,121.0,102.0,1,2020-04-28 09:15:00
1004,1,1,1,1,21.0,17.0,1,2020-04-28 09:15:00
1051,1,3,1,1,49.0,21.0,1,2020-04-28 09:15:00
1053,2,1,1,2,10.0,10.0,1,2020-04-28 09:15:00
1054,3,0,0,3,27.0,17.0,1,2020-04-28 09:15:00
1055,3,0,0,3,24.0,28.0,1,2020-04-28 09:15:00
1056,2,5,5,2,14.0,23.0,1,2020-04-28 09:15:00
1057,1,2,1,1,4.0,8.0,1,2020-04-28 09:15:00
1058,2,3,3,2,18.0,26.0,1,2020-04-28 09:15:00
1059,1,0,0,1,9.0,15.0,1,2020-04-28 09:15:00
1060,4,1,0,4,64.0,72.0,1,2020-04-28 09:15:00
1061,1,0,0,1,21.0,19.0,1,2020-04-28 09:15:00
1062,3,0,0,3,18.0,37.0,1,2020-04-28 09:15:00
2000,28,81,70,24,423.0,533.0,2,2020-04-28 09:15:00
3101,5,7,5,5,63.0,84.0,3,2020-04-28 09:15:00
3102,2,0,0,2,14.0,13.0,3,2020-04-28 09:15:00
3103,1,0,0,1,28.0,20.0,3,2020-04-28 09:15:00
3151,2,0,0,2,11.0,9.0,3,2020-04-28 09:15:00
3153,3,8,7,3,35.0,40.0,3,2020-04-28 09:15:00
3154,1,4,1,1,16.0,18.0,3,2020-04-28 09:15:00
3155,2,4,2,2,10.0,13.0,3,2020-04-28 09:15:00
3157,1,3,1,1,4.0,18.0,3,2020-04-28 09:15:00
3158,1,4,4,1,5.0,11.0,3,2020-04-28 09:15:00
3159,6,15,7,6,67.0,126.0,3,2020-04-28 09:15:00
3241,16,38,29,16,157.0,352.0,3,2020-04-28 09:15:00
3251,3,2,1,3,16.0,6.0,3,2020-04-28 09:15:00
3252,4,3,1,4,14.0,59.0,3,2020-04-28 09:15:00
3254,5,7,2,4,58.0,52.0,3,2020-04-28 09:15:00
3255,1,0,0,1,2.0,12.0,3,2020-04-28 09:15:00
3256,1,0,0,1,19.0,17.0,3,2020-04-28 09:15:00
3257,1,2,0,1,0.0,23.0,3,2020-04-28 09:15:00
3351,3,1,0,1,27.0,20.0,3,2020-04-28 09:15:00
3352,2,1,0,2,8.0,10.0,3,2020-04-28 09:15:00
3353,3,4,3,3,31.0,33.0,3,2020-04-28 09:15:00
3354,1,0,0,1,23.0,4.0,3,2020-04-28 09:15:00
3355,2,0,0,2,27.0,16.0,3,2020-04-28 09:15:00
3356,2,0,0,2,2.0,14.0,3,2020-04-28 09:15:00
3357,3,2,2,2,11.0,15.0,3,2020-04-28 09:15:00
3358,3,1,1,3,20.0,22.0,3,2020-04-28 09:15:00
3359,3,0,0,2,16.0,25.0,3,2020-04-28 09:15:00
3360,2,2,1,2,23.0,5.0,3,2020-04-28 09:15:00
3361,2,1,1,2,10.0,7.0,3,2020-04-28 09:15:00
3401,1,2,2,1,14.0,13.0,3,2020-04-28 09:15:00
3402,1,1,0,1,11.0,10.0,3,2020-04-28 09:15:00
3403,4,8,7,3,118.0,79.0,3,2020-04-28 09:15:00
3404,4,7,7,4,84.0,62.0,3,2020-04-28 09:15:00
3405,1,0,0,1,9.0,24.0,3,2020-04-28 09:15:00
3451,3,3,3,2,19.0,21.0,3,2020-04-28 09:15:00
3452,3,0,0,3,16.0,26.0,3,2020-04-28 09:15:00
3453,3,0,0,3,20.0,30.0,3,2020-04-28 09:15:00
3454,6,6,5,6,45.0,64.0,3,2020-04-28 09:15:00
3455,2,2,1,2,13.0,5.0,3,2020-04-28 09:15:00
3456,1,5,4,1,20.0,18.0,3,2020-04-28 09:15:00
3457,3,1,0,2,19.0,24.0,3,2020-04-28 09:15:00
3458,1,1,1,1,8.0,7.0,3,2020-04-28 09:15:00
3459,8,0,0,7,68.0,57.0,3,2020-04-28 09:15:00
3460,3,4,0,3,46.0,26.0,3,2020-04-28 09:15:00
3461,2,0,0,2,14.0,10.0,3,2020-04-28 09:15:00
3462,1,0,0,1,5.0,8.0,3,2020-04-28 09:15:00
4011,10,9,6,9,91.0,108.0,4,2020-04-28 09:15:00
4012,1,3,2,1,18.0,28.0,4,2020-04-28 09:15:00
5111,12,19,18,11,75.0,237.0,5,2020-04-28 09:15:00
5112,13,12,11,9,98.0,177.0,5,2020-04-28 09:15:00
5113,15,30,26,14,102.0,264.0,5,2020-04-28 09:15:00
