Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
0,1,1001,2,0,0,2,41.0,41.0,2020-04-29 09:15:00
1,1,1002,4,4,2,3,101.0,115.0,2020-04-29 09:15:00
2,1,1003,2,5,5,2,115.0,108.0,2020-04-29 09:15:00
3,1,1004,1,1,1,1,18.0,20.0,2020-04-29 09:15:00
4,1,1051,1,3,1,1,49.0,26.0,2020-04-29 09:15:00
5,1,1053,2,1,1,2,8.0,10.0,2020-04-29 09:15:00
6,1,1054,3,0,0,3,18.0,26.0,2020-04-29 09:15:00
7,1,1055,3,0,0,3,28.0,24.0,2020-04-29 09:15:00
8,1,1056,2,5,5,2,10.0,27.0,2020-04-29 09:15:00
9,1,1057,1,2,1,1,4.0,8.0,2020-04-29 09:15:00
10,1,1058,2,3,3,2,18.0,24.0,2020-04-29 09:15:00
11,1,1059,1,0,0,1,9.0,15.0,2020-04-29 09:15:00
12,1,1060,4,1,0,4,59.0,73.0,2020-04-29 09:15:00
13,1,1061,1,0,0,1,16.0,24.0,2020-04-29 09:15:00
14,1,1062,3,0,0,3,23.0,37.0,2020-04-29 09:15:00
15,2,2000,28,79,67,24,416.0,562.0,2020-04-29 09:15:00
16,3,3101,5,6,5,5,55.0,93.0,2020-04-29 09:15:00
17,3,3102,2,0,0,2,5.0,22.0,2020-04-29 09:15:00
18,3,3103,1,0,0,1,29.0,19.0,2020-04-29 09:15:00
19,3,3151,2,0,0,2,10.0,10.0,2020-04-29 09:15:00
20,3,3153,3,9,7,3,30.0,44.0,2020-04-29 09:15:00
21,3,3154,1,4,1,1,16.0,18.0,2020-04-29 09:15:00
22,3,3155,2,2,2,2,13.0,10.0,2020-04-29 09:15:00
23,3,3157,1,3,1,1,4.0,18.0,2020-04-29 09:15:00
24,3,3158,1,4,4,1,5.0,11.0,2020-04-29 09:15:00
25,3,3159,7,20,9,7,59.0,134.0,2020-04-29 09:15:00
26,3,3241,16,35,26,16,166.0,345.0,2020-04-29 09:15:00
27,3,3251,3,2,1,3,13.0,5.0,2020-04-29 09:15:00
28,3,3252,4,3,2,4,21.0,54.0,2020-04-29 09:15:00
29,3,3254,5,8,4,4,52.0,58.0,2020-04-29 09:15:00
30,3,3255,1,0,0,1,3.0,11.0,2020-04-29 09:15:00
31,3,3256,1,0,0,1,16.0,18.0,2020-04-29 09:15:00
32,3,3257,1,2,0,1,0.0,23.0,2020-04-29 09:15:00
33,3,3351,3,2,0,1,21.0,26.0,2020-04-29 09:15:00
34,3,3352,2,1,0,2,9.0,9.0,2020-04-29 09:15:00
35,3,3353,3,4,3,3,31.0,33.0,2020-04-29 09:15:00
36,3,3354,1,0,0,1,20.0,5.0,2020-04-29 09:15:00
37,3,3355,2,0,0,2,20.0,23.0,2020-04-29 09:15:00
38,3,3356,2,0,0,2,8.0,8.0,2020-04-29 09:15:00
39,3,3357,3,2,2,2,14.0,25.0,2020-04-29 09:15:00
40,3,3358,3,1,1,3,17.0,25.0,2020-04-29 09:15:00
41,3,3359,3,0,0,2,17.0,24.0,2020-04-29 09:15:00
42,3,3360,2,2,1,2,23.0,5.0,2020-04-29 09:15:00
43,3,3361,2,0,0,2,8.0,9.0,2020-04-29 09:15:00
44,3,3401,1,2,2,1,14.0,13.0,2020-04-29 09:15:00
45,3,3402,1,1,0,1,12.0,9.0,2020-04-29 09:15:00
46,3,3403,4,9,7,3,116.0,81.0,2020-04-29 09:15:00
47,3,3404,4,8,8,4,92.0,64.0,2020-04-29 09:15:00
48,3,3405,1,0,0,1,5.0,28.0,2020-04-29 09:15:00
49,3,3451,3,3,3,2,11.0,29.0,2020-04-29 09:15:00
50,3,3452,3,0,0,3,20.0,22.0,2020-04-29 09:15:00
51,3,3453,3,0,0,3,19.0,29.0,2020-04-29 09:15:00
52,3,3454,6,6,4,6,44.0,67.0,2020-04-29 09:15:00
53,3,3455,2,1,0,2,12.0,6.0,2020-04-29 09:15:00
54,3,3456,1,4,4,1,13.0,17.0,2020-04-29 09:15:00
55,3,3457,3,1,0,2,21.0,22.0,2020-04-29 09:15:00
56,3,3458,1,1,1,1,8.0,7.0,2020-04-29 09:15:00
57,3,3459,8,0,0,7,72.0,70.0,2020-04-29 09:15:00
58,3,3460,3,1,0,3,45.0,25.0,2020-04-29 09:15:00
59,3,3461,2,0,0,2,10.0,13.0,2020-04-29 09:15:00
60,3,3462,1,0,0,1,6.0,7.0,2020-04-29 09:15:00
61,4,4011,10,10,7,9,89.0,111.0,2020-04-29 09:15:00
62,4,4012,1,4,3,1,8.0,38.0,2020-04-29 09:15:00
63,5,5111,12,18,18,11,87.0,227.0,2020-04-29 09:15:00
64,5,5112,13,15,9,9,81.0,193.0,2020-04-29 09:15:00
65,5,5113,15,27,25,14,104.0,259.0,2020-04-29 09:15:00
66,5,5114,4,13,8,4,22.0,71.0,2020-04-29 09:15:00
67,5,5116,5,10,6,4,38.0,84.0,2020-04-29 09:15:00
68,5,5117,2,6,5,2,18.0,35.0,2020-04-29 09:15:00
69,5,5119,5,1,0,4,39.0,27.0,2020-04-29 09:15:00
70,5,5120,1,3,2,1,20.0,16.0,2020-04-29 09:15:00
71,5,5122,3,7,6,3,35.0,58.0,2020-04-29 09:15:00
