bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
1,1001,2,0,0,2,11,38,2020-08-04 12:15:00
1,1002,5,4,1,3,109,117,2020-08-04 12:15:00
1,1003,2,0,0,2,103,114,2020-08-04 12:15:00
1,1004,1,0,0,1,7,18,2020-08-04 12:15:00
1,1051,1,1,1,1,18,36,2020-08-04 12:15:00
1,1053,2,0,0,2,9,15,2020-08-04 12:15:00
1,1054,3,0,0,3,14,25,2020-08-04 12:15:00
1,1055,3,0,0,3,17,34,2020-08-04 12:15:00
1,1056,2,0,0,2,13,27,2020-08-04 12:15:00
1,1057,1,1,1,1,5,7,2020-08-04 12:15:00
1,1058,5,0,0,3,9,47,2020-08-04 12:15:00
1,1059,1,0,0,1,15,9,2020-08-04 12:15:00
1,1060,4,0,0,4,43,77,2020-08-04 12:15:00
1,1061,3,0,0,1,24,27,2020-08-04 12:15:00
1,1062,3,0,0,3,19,32,2020-08-04 12:15:00
2,2000,28,9,7,21,230,526,2020-08-04 12:15:00
3,3101,7,0,0,5,41,109,2020-08-04 12:15:00
3,3102,1,0,0,1,4,3,2020-08-04 12:15:00
3,3103,1,0,0,1,7,27,2020-08-04 12:15:00
3,3151,1,0,0,1,1,5,2020-08-04 12:15:00
3,3153,3,0,0,3,34,48,2020-08-04 12:15:00
3,3154,1,1,0,1,12,22,2020-08-04 12:15:00
3,3155,2,0,0,2,12,11,2020-08-04 12:15:00
3,3157,1,0,0,1,8,14,2020-08-04 12:15:00
3,3158,1,0,0,1,10,6,2020-08-04 12:15:00
3,3159,8,0,0,7,71,123,2020-08-04 12:15:00
3,3241,19,6,6,16,161,344,2020-08-04 12:15:00
3,3251,3,0,0,3,9,8,2020-08-04 12:15:00
3,3252,5,0,0,3,19,39,2020-08-04 12:15:00
3,3254,7,0,0,4,22,57,2020-08-04 12:15:00
3,3255,1,0,0,1,6,8,2020-08-04 12:15:00
3,3256,1,0,0,1,20,14,2020-08-04 12:15:00
3,3257,1,0,0,1,5,18,2020-08-04 12:15:00
3,3352,2,0,0,2,11,7,2020-08-04 12:15:00
3,3353,3,0,0,3,10,32,2020-08-04 12:15:00
3,3355,2,0,0,2,18,25,2020-08-04 12:15:00
3,3356,3,0,0,2,6,12,2020-08-04 12:15:00
3,3357,3,0,0,2,12,24,2020-08-04 12:15:00
3,3358,2,0,0,2,13,11,2020-08-04 12:15:00
3,3359,3,0,0,2,9,24,2020-08-04 12:15:00
3,3360,2,0,0,2,20,52,2020-08-04 12:15:00
3,3361,2,0,0,2,7,8,2020-08-04 12:15:00
3,3401,1,1,1,1,8,14,2020-08-04 12:15:00
3,3402,1,0,0,1,10,10,2020-08-04 12:15:00
3,3403,3,0,0,2,21,58,2020-08-04 12:15:00
3,3404,4,1,1,3,29,57,2020-08-04 12:15:00
3,3405,2,0,0,1,17,20,2020-08-04 12:15:00
3,3451,3,0,0,2,7,22,2020-08-04 12:15:00
3,3452,3,1,0,3,7,26,2020-08-04 12:15:00
3,3453,3,0,0,3,15,21,2020-08-04 12:15:00
3,3454,11,1,1,7,30,90,2020-08-04 12:15:00
3,3455,1,0,0,1,8,16,2020-08-04 12:15:00
3,3456,1,0,0,1,10,20,2020-08-04 12:15:00
3,3457,4,0,0,2,26,20,2020-08-04 12:15:00
3,3458,1,1,1,1,0,10,2020-08-04 12:15:00
3,3459,6,0,0,5,52,49,2020-08-04 12:15:00
3,3460,4,0,0,2,12,14,2020-08-04 12:15:00
3,3461,1,0,0,1,0,0,2020-08-04 12:15:00
3,3462,1,0,0,1,0,8,2020-08-04 12:15:00
4,4011,8,2,1,7,52,126,2020-08-04 12:15:00
4,4012,4,0,0,3,30,39,2020-08-04 12:15:00
5,5111,11,3,2,9,44,231,2020-08-04 12:15:00
5,5112,13,4,3,9,62,160,2020-08-04 12:15:00
5,5113,15,4,3,13,81,313,2020-08-04 12:15:00
5,5114,6,1,0,4,13,78,2020-08-04 12:15:00
5,5116,5,0,0,3,23,59,2020-08-04 12:15:00
5,5117,2,0,0,2,31,24,2020-08-04 12:15:00
5,5119,4,0,0,4,27,38,2020-08-04 12:15:00
5,5122,4,0,0,3,28,58,2020-08-04 12:15:00
5,5124,6,1,1,4,52,78,2020-08-04 12:15:00
5,5154,7,0,0,5,30,42,2020-08-04 12:15:00
5,5158,5,1,1,5,20,36,2020-08-04 12:15:00
5,5162,8,1,0,6,35,88,2020-08-04 12:15:00
5,5166,4,1,0,4,16,28,2020-08-04 12:15:00
5,5170,8,6,2,8,60,102,2020-08-04 12:15:00
5,5314,16,3,1,9,42,232,2020-08-04 12:15:00
5,5315,27,6,4,18,67,349,2020-08-04 12:15:00
5,5316,3,0,0,2,10,28,2020-08-04 12:15:00
5,5334,9,1,0,6,22,240,2020-08-04 12:15:00
5,5358,7,1,1,5,32,47,2020-08-04 12:15:00
5,5362,7,1,0,7,20,65,2020-08-04 12:15:00
5,5366,3,1,1,3,8,28,2020-08-04 12:15:00
5,5370,3,1,1,3,12,24,2020-08-04 12:15:00
5,5374,6,0,0,6,28,69,2020-08-04 12:15:00
5,5378,4,0,0,4,21,31,2020-08-04 12:15:00
5,5382,6,0,0,5,17,68,2020-08-04 12:15:00
5,5512,2,0,0,2,41,21,2020-08-04 12:15:00
5,5513,8,2,2,4,47,96,2020-08-04 12:15:00
5,5515,7,2,1,6,30,181,2020-08-04 12:15:00
5,5554,5,0,0,5,32,36,2020-08-04 12:15:00
5,5558,3,1,0,3,16,20,2020-08-04 12:15:00
5,5562,13,0,0,12,74,158,2020-08-04 12:15:00
5,5566,6,2,1,5,27,53,2020-08-04 12:15:00
5,5570,6,0,0,5,40,32,2020-08-04 12:15:00
5,5711,4,2,0,4,28,117,2020-08-04 12:15:00
5,5754,2,0,0,2,19,20,2020-08-04 12:15:00
5,5758,5,1,1,3,25,51,2020-08-04 12:15:00
5,5762,5,0,0,5,19,28,2020-08-04 12:15:00
5,5770,7,0,0,5,67,200,2020-08-04 12:15:00
5,5774,7,1,1,5,64,81,2020-08-04 12:15:00
5,5911,8,7,3,6,71,153,2020-08-04 12:15:00
5,5913,7,4,4,7,68,159,2020-08-04 12:15:00
5,5914,7,2,1,5,24,46,2020-08-04 12:15:00
5,5915,6,5,2,5,32,62,2020-08-04 12:15:00
5,5916,3,3,1,3,14,42,2020-08-04 12:15:00
5,5954,5,0,0,5,22,75,2020-08-04 12:15:00
5,5958,9,2,0,8,37,86,2020-08-04 12:15:00
5,5962,6,1,0,6,40,32,2020-08-04 12:15:00
5,5966,3,0,0,3,15,23,2020-08-04 12:15:00
5,5970,6,0,0,5,36,68,2020-08-04 12:15:00
5,5974,9,1,0,7,24,66,2020-08-04 12:15:00
5,5978,8,0,0,8,33,100,2020-08-04 12:15:00
6,6411,7,1,1,4,28,81,2020-08-04 12:15:00
6,6412,14,3,1,10,60,209,2020-08-04 12:15:00
6,6413,4,1,0,2,22,90,2020-08-04 12:15:00
6,6414,4,3,3,4,26,77,2020-08-04 12:15:00
6,6431,5,0,0,5,34,15,2020-08-04 12:15:00
6,6432,2,1,1,2,4,25,2020-08-04 12:15:00
6,6433,2,0,0,2,3,17,2020-08-04 12:15:00
6,6434,3,0,0,3,9,20,2020-08-04 12:15:00
6,6435,7,1,1,4,24,65,2020-08-04 12:15:00
6,6436,2,1,1,2,2,26,2020-08-04 12:15:00
6,6437,2,2,0,2,12,114,2020-08-04 12:15:00
6,6438,1,0,0,1,1,13,2020-08-04 12:15:00
6,6439,2,0,0,2,5,13,2020-08-04 12:15:00
6,6440,5,0,0,5,35,64,2020-08-04 12:15:00
6,6531,4,3,1,4,89,208,2020-08-04 12:15:00
6,6532,2,0,0,2,10,47,2020-08-04 12:15:00
6,6533,3,0,0,3,20,37,2020-08-04 12:15:00
6,6534,3,0,0,3,23,132,2020-08-04 12:15:00
6,6535,4,0,0,4,6,25,2020-08-04 12:15:00
6,6611,4,2,1,4,34,138,2020-08-04 12:15:00
6,6631,5,0,0,3,21,76,2020-08-04 12:15:00
6,6632,3,1,1,3,34,42,2020-08-04 12:15:00
6,6633,4,0,0,4,15,24,2020-08-04 12:15:00
6,6634,3,0,0,3,23,20,2020-08-04 12:15:00
6,6635,5,0,0,5,37,52,2020-08-04 12:15:00
6,6636,3,0,0,3,19,25,2020-08-04 12:15:00
7,7111,6,0,0,4,51,87,2020-08-04 12:15:00
7,7131,2,1,1,2,10,16,2020-08-04 12:15:00
7,7132,2,0,0,2,8,8,2020-08-04 12:15:00
7,7133,6,0,0,4,26,26,2020-08-04 12:15:00
7,7134,2,0,0,2,7,17,2020-08-04 12:15:00
7,7135,1,0,0,1,5,0,2020-08-04 12:15:00
7,7137,4,0,0,4,15,31,2020-08-04 12:15:00
7,7138,7,0,0,5,32,56,2020-08-04 12:15:00
7,7140,2,0,0,2,7,9,2020-08-04 12:15:00
7,7141,4,0,0,4,13,27,2020-08-04 12:15:00
7,7143,3,1,0,3,7,28,2020-08-04 12:15:00
7,7211,6,1,1,3,46,75,2020-08-04 12:15:00
7,7231,2,0,0,2,14,16,2020-08-04 12:15:00
7,7232,2,0,0,2,5,12,2020-08-04 12:15:00
7,7233,1,0,0,1,0,10,2020-08-04 12:15:00
7,7235,2,0,0,2,8,8,2020-08-04 12:15:00
7,7311,1,0,0,1,8,14,2020-08-04 12:15:00
7,7312,3,0,0,1,70,99,2020-08-04 12:15:00
7,7313,3,0,0,2,11,18,2020-08-04 12:15:00
7,7314,6,1,1,4,51,77,2020-08-04 12:15:00
7,7315,1,0,0,1,9,19,2020-08-04 12:15:00
7,7316,1,0,0,1,13,8,2020-08-04 12:15:00
7,7317,1,0,0,1,5,7,2020-08-04 12:15:00
7,7318,2,0,0,2,19,19,2020-08-04 12:15:00
7,7319,3,0,0,1,11,39,2020-08-04 12:15:00
7,7320,1,0,0,1,4,10,2020-08-04 12:15:00
7,7331,1,0,0,1,1,7,2020-08-04 12:15:00
7,7332,2,0,0,2,8,11,2020-08-04 12:15:00
7,7333,2,0,0,2,6,6,2020-08-04 12:15:00
7,7334,2,0,0,2,11,9,2020-08-04 12:15:00
7,7335,1,0,0,1,7,7,2020-08-04 12:15:00
7,7336,1,0,0,1,3,16,2020-08-04 12:15:00
7,7337,2,0,0,2,6,11,2020-08-04 12:15:00
7,7339,2,1,1,2,14,12,2020-08-04 12:15:00
8,8111,10,7,2,8,75,243,2020-08-04 12:15:00
8,8115,6,4,2,4,14,49,2020-08-04 12:15:00
8,8116,8,1,1,4,31,68,2020-08-04 12:15:00
8,8117,5,0,0,3,49,32,2020-08-04 12:15:00
8,8118,5,8,6,4,46,104,2020-08-04 12:15:00
8,8119,4,0,0,2,10,59,2020-08-04 12:15:00
8,8121,3,0,0,1,39,44,2020-08-04 12:15:00
8,8125,2,0,0,2,11,41,2020-08-04 12:15:00
8,8126,1,0,0,1,7,5,2020-08-04 12:15:00
8,8127,2,0,0,2,8,26,2020-08-04 12:15:00
8,8128,3,1,1,3,30,36,2020-08-04 12:15:00
8,8135,2,0,0,1,4,18,2020-08-04 12:15:00
8,8136,7,0,0,4,9,54,2020-08-04 12:15:00
8,8211,3,0,0,1,6,20,2020-08-04 12:15:00
